Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
The Color Purple,"$44,047,642","3,218",Dec 25,/release/rl577012481/?ref_=bo_yld_table_53,tt1200263,"$11,737,072","3,203",6.9,13653,95,82
The Boogeyman,"$43,244,282","3,205",Jun 2,/release/rl3958932225/?ref_=bo_yld_table_54,tt3427252,"$12,356,486","3,205",5.9,43131,66,60
A Haunting in Venice,"$42,471,412","3,305",Sep 15,/release/rl216040193/?ref_=bo_yld_table_55,tt22687790,"$14,279,529","3,305",6.5,108681,77,76
The Creator,"$40,774,679","3,680",Sep 29,/release/rl3888743169/?ref_=bo_yld_table_56,tt11858890,"$14,079,512","3,680",6.8,153502,,
80 for Brady,"$39,330,588","3,939",Feb 3,/release/rl3470820097/?ref_=bo_yld_table_57,tt18079362,"$12,701,640","3,912",5.8,11110,89,58
The Boy and the Heron,"$35,846,555","2,325",Dec 8,/release/rl4222321409/?ref_=bo_yld_table_58,tt6587046,"$13,011,722","2,205",7.6,47920,88,97
Knock at the Cabin,"$35,397,980","3,657",Feb 3,/release/rl3793191681/?ref_=bo_yld_table_59,tt15679400,"$14,127,170","3,643",6.1,113767,63,67
Renaissance: A Film by Beyoncé,"$33,223,373","2,542",Dec 1,/release/rl347177729/?ref_=bo_yld_table_60,tt29354040,"$21,801,216","2,539",8.6,3278,unknown,unknown
Missing,"$32,502,025","3,025",Jan 20,/release/rl3403318017/?ref_=bo_yld_table_61,tt10855768,"$9,154,695","3,025",7.1,57812,56,
Plane,"$32,111,181","3,060",Jan 13,/release/rl1992983297/?ref_=bo_yld_table_62,tt5884796,"$10,265,326","3,023",6.5,77217,94,78
65,"$32,062,904","3,405",Mar 10,/release/rl4235821825/?ref_=bo_yld_table_63,tt12261776,"$12,328,361","3,405",5.4,86890,65,36
Thanksgiving,"$31,800,773","3,204",Nov 17,/release/rl2760606465/?ref_=bo_yld_table_64,tt1448754,"$10,306,272","3,204",6.3,44903,,
My Big Fat Greek Wedding 3,"$28,496,030","3,678",Sep 8,/release/rl780174081/?ref_=bo_yld_table_65,tt21103300,"$10,028,675","3,650",5.2,8479,71,30
Asteroid City,"$28,153,025","1,901",Jun 16,/release/rl1592820481/?ref_=bo_yld_table_66,tt14230388,"$853,382",6,6.5,109804,62,75
Magic Mike's Last Dance,"$26,005,156","3,034",Feb 10,/release/rl503218945/?ref_=bo_yld_table_67,tt16280138,"$8,305,317","1,496",5.2,16260,73,48
Anyone But You,"$24,837,385","3,055",Dec 22,/release/rl3616572161/?ref_=bo_yld_table_68,tt26047818,"$6,000,344","3,055",6.2,54565,,
Strays,"$23,988,885","3,232",Aug 18,/release/rl3174007553/?ref_=bo_yld_table_69,tt15153532,"$8,247,810","3,223",6.3,27779,44,40
The Boys in the Boat,"$21,998,472","2,687",Dec 25,/release/rl43614977/?ref_=bo_yld_table_70,tt1856080,"$8,400,548","2,557",7.0,11754,97,57
Priscilla,"$20,900,492","2,361",Oct 27,/release/rl1218675457/?ref_=bo_yld_table_71,tt22041854,"$132,139",4,6.6,31260,63,84
"Are You There God? It's Me, Margaret.","$20,372,406","3,343",Apr 28,/release/rl4079649537/?ref_=bo_yld_table_72,tt9185206,"$6,739,037","3,343",7.3,26180,95,99
The Pope's Exorcist,"$20,009,380","3,178",Apr 14,/release/rl1187939073/?ref_=bo_yld_table_73,tt13375076,"$9,006,368","3,178",6.1,81584,81,49
The Holdovers,"$18,208,655","1,601",Oct 27,/release/rl92504833/?ref_=bo_yld_table_74,tt14849194,"$211,093",6,8.0,125972,92,97
The Blackening,"$17,707,207","1,775",Jun 16,/release/rl2565833473/?ref_=bo_yld_table_75,tt11703244,"$6,013,131","1,775",6.0,18105,85,87
Book Club: The Next Chapter,"$17,581,565","3,513",May 12,/release/rl1943044865/?ref_=bo_yld_table_76,tt20768712,"$6,677,580","3,508",5.6,6720,84,46
Pathaan,"$17,487,476",697,Jan 25,/release/rl1474921217/?ref_=bo_yld_table_77,tt12844910,"$6,892,182",695,5.8,155997,78,84
Black Panther: Wakanda Forever,"$17,329,414","4,396",Nov 11,/release/rl3573908993/?ref_=bo_yld_table_78,tt9114286,"$181,339,761","4,396",6.7,302760,94,83
Renfield,"$17,297,895","3,378",Apr 14,/release/rl590381825/?ref_=bo_yld_table_79,tt11358390,"$8,026,475","3,375",6.4,93835,79,58
